State,Year,Tuition,,,,,,,,
Wyoming,2008,10068,,,,,,,,
Alabama,2009,12183,,,,,,,,
Alaska,2009,12970,,,,,,,,
Arizona,2009,14098,,,,,,,,
Arkansas,2009,11708,,,,,,,,
California,2009,15679,,,,,,,,
Colorado,2009,14250,,,,,,,,
Connecticut,2009,17358,,,,,,,,
Delaware,2009,17199,,,,,,,,
Florida,2009,11487,,,,,,,,
Georgia,2009,11532,,,,,,,,
Hawaii,2009,13358,,,,,,,,
Idaho,2009,10403,,,,,,,,
Illinois,2009,18228,,,,,,,,
Indiana,2009,14976,,,,,,,,
Iowa,2009,13828,,,,,,,,
Kansas,2009,11999,,,,,,,,
Kentucky,2009,13213,,,,,,,,
Louisiana,2009,10380,,,,,,,,
Maine,2009,16162,,,,,,,,
Maryland,2009,16112,,,,,,,,
Massachusetts,2009,17103,,,,,,,,
Michigan,2009,17034,,,,,,,,
Minnesota,2009,15097,,,,,,,,
Mississippi,2009,11093,,,,,,,,
Missouri,2009,14056,,,,,,,,
Montana,2009,11970,,,,,,,,
Nebraska,2009,12652,,,,,,,,
Nevada,2009,12824,,,,,,,,
New Hampshire,2009,19228,,,,,,,,
New Jersey,2009,20727,,,,,,,,
New Mexico,2009,11261,,,,,,,,
New York,2009,14878,,,,,,,,
North Carolina,2009,11354,,,,,,,,
North Dakota,2009,11426,,,,,,,,
Ohio,2009,16567,,,,,,,,
Oklahoma,2009,12355,,,,,,,,
Oregon,2009,15183,,,,,,,,
Pennsylvania,2009,18147,,,,,,,,
Rhode Island,2009,17289,,,,,,,,
South Carolina,2009,16137,,,,,,,,
South Dakota,2009,11357,,,,,,,,
Tennessee,2009,12057,,,,,,,,
Texas,2009,13222,,,,,,,,
Utah,2009,10301,,,,,,,,
Vermont,2009,19688,,,,,,,,
Virginia,2009,14850,,,,,,,,
Washington,2009,14153,,,,,,,,
West Virginia,2009,12128,,,,,,,,
Wisconsin,2009,12400,,,,,,,,
Wyoming,2009,10556,,,,,,,,
Alabama,2010,13052,,,,,,,,
Alaska,2010,13281,,,,,,,,
Arizona,2010,15710,,,,,,,,
Arkansas,2010,11841,,,,,,,,
California,2010,17652,,,,,,,,
Colorado,2010,15056,,,,,,,,
Connecticut,2010,18331,,,,,,,,
Delaware,2010,18383,,,,,,,,
Florida,2010,11659,,,,,,,,
Georgia,2010,12552,,,,,,,,
Hawaii,2010,14182,,,,,,,,
Idaho,2010,10895,,,,,,,,
Illinois,2010,19355,,,,,,,,
Indiana,2010,15590,,,,,,,,
Iowa,2010,14174,,,,,,,,
Kansas,2010,12578,,,,,,,,
Kentucky,2010,14228,,,,,,,,
Louisiana,2010,10873,,,,,,,,
Maine,2010,17020,,,,,,,,
Maryland,2010,16407,,,,,,,,
Massachusetts,2010,17819,,,,,,,,
Michigan,2010,17852,,,,,,,,
Minnesota,2010,15730,,,,,,,,
Mississippi,2010,11583,,,,,,,,
Missouri,2010,14368,,,,,,,,
Montana,2010,12399,,,,,,,,
Nebraska,2010,13265,,,,,,,,
Nevada,2010,13682,,,,,,,,
New Hampshire,2010,20492,,,,,,,,
New Jersey,2010,21591,,,,,,,,
New Mexico,2010,11809,,,,,,,,
New York,2010,16147,,,,,,,,
North Carolina,2010,11874,,,,,,,,
North Dakota,2010,11891,,,,,,,,
Ohio,2010,17133,,,,,,,,
Oklahoma,2010,11444,,,,,,,,
Oregon,2010,15629,,,,,,,,
Pennsylvania,2010,19017,,,,,,,,
Rhode Island,2010,18509,,,,,,,,
South Carolina,2010,16788,,,,,,,,
South Dakota,2010,12022,,,,,,,,
Tennessee,2010,12748,,,,,,,,
Texas,2010,13764,,,,,,,,
Utah,2010,10109,,,,,,,,
Vermont,2010,20735,,,,,,,,
Virginia,2010,15616,,,,,,,,
Washington,2010,15189,,,,,,,,
West Virginia,2010,12426,,,,,,,,
Wisconsin,2010,13190,,,,,,,,
Wyoming,2010,10952,,,,,,,,
Alabama,2011,14416,,,,,,,,
Alaska,2011,14053,,,,,,,,
Arizona,2011,17083,,,,,,,,
Arkansas,2011,12580,,,,,,,,
California,2011,18933,,,,,,,,
Colorado,2011,16208,,,,,,,,
Connecticut,2011,19400,,,,,,,,
Delaware,2011,19541,,,,,,,,
Florida,2011,12774,,,,,,,,
Georgia,2011,14019,,,,,,,,
Hawaii,2011,15133,,,,,,,,
Idaho,2011,11773,,,,,,,,
Illinois,2011,20054,,,,,,,,
Indiana,2011,16912,,,,,,,,
Iowa,2011,14855,,,,,,,,
Kansas,2011,13229,,,,,,,,
Kentucky,2011,15002,,,,,,,,
Louisiana,2011,11856,,,,,,,,
Maine,2011,17767,,,,,,,,
Maryland,2011,16963,,,,,,,,
Massachusetts,2011,19164,,,,,,,,
Michigan,2011,18333,,,,,,,,
Minnesota,2011,16385,,,,,,,,
Mississippi,2011,12051,,,,,,,,
Missouri,2011,15110,,,,,,,,
Montana,2011,12891,,,,,,,,
Nebraska,2011,14081,,,,,,,,
Nevada,2011,14172,,,,,,,,
New Hampshire,2011,21481,,,,,,,,
New Jersey,2011,22592,,,,,,,,
New Mexico,2011,12520,,,,,,,,
New York,2011,16606,,,,,,,,
North Carolina,2011,12874,,,,,,,,
North Dakota,2011,12503,,,,,,,,
Ohio,2011,17964,,,,,,,,
Oklahoma,2011,11938,,,,,,,,
Oregon,2011,16402,,,,,,,,
Pennsylvania,2011,19916,,,,,,,,
Rhode Island,2011,19815,,,,,,,,
South Carolina,2011,17641,,,,,,,,
South Dakota,2011,12603,,,,,,,,
Tennessee,2011,13759,,,,,,,,
Texas,2011,14585,,,,,,,,
Utah,2011,10768,,,,,,,,
Vermont,2011,21530,,,,,,,,
Virginia,2011,18110,,,,,,,,
Washington,2011,16253,,,,,,,,
West Virginia,2011,12799,,,,,,,,
Wisconsin,2011,13819,,,,,,,,
Wyoming,2011,11467,,,,,,,,
